,One_BR,Two_BR,Three_BR,Four_BR
130281,45.969599883689924,61.65544443658248,86.19902100734777,108.24748579045891
130282,46.10740727383003,61.87010251689278,86.4879409489574,108.6128573128266
130283,46.237593292974196,62.07355930802477,86.76171647207251,108.95858058404687
130284,46.37052941675612,62.277547967574826,87.03659242348714,109.30848511864946
130285,46.49776285001046,62.474860894867234,87.30227309957142,109.64518253355632
130286,46.629228439838016,62.675598308073305,87.57288224498284,109.99044325502825
130287,46.75278555507781,62.86780870208543,87.83163689769616,110.31793735690592
130288,46.873442439016294,63.05475107447788,88.08336205411761,110.63703586093463
130289,46.98724999455363,63.23240090871863,88.32243866849724,110.93911861243512
130290,47.09621395198228,63.40222485293206,88.55100440880062,111.22809370284916
130291,47.19863499155259,63.56252217864616,88.76667932582261,111.50027292263677
130292,47.29811280524182,63.71712093358914,88.97479608328896,111.76371350678363
130293,47.39342759158724,63.86544610235167,89.17445203725313,112.01631661844769
130294,47.48495874577374,64.00786154402006,89.36615514009614,112.25887224883249
130295,47.602608493254316,64.17928368248083,89.5981067525893,112.5610480128269
130296,47.70909247385068,64.34420084729577,89.82023569809819,112.84289181107968
130297,47.81263390005464,64.50461120663844,90.03624592539147,113.11675560148628
130298,47.90961239524743,64.65626357871781,90.24030927322828,113.37439800983992
130299,48.004914851806255,64.80390905525086,90.43911547773978,113.62640519325235
130300,48.094243830709274,64.94356484404868,90.62703763631893,113.86368963922821
130301,48.17856526463028,65.07551780683917,90.80457644836459,114.08774775021946
130302,48.25826239843756,65.20022571153072,90.97236664865507,114.29950481226787
130303,48.33363685452911,65.31814725225236,91.13102815953454,114.49975751425758
130304,48.404965559197926,65.42971596443732,91.28114453638804,114.68924284565838
130305,48.4744200638204,65.5375668525638,91.42633966013591,114.87310195688268
130306,48.54370970538926,65.64429569063851,91.57011794529332,115.05583065903642
130307,48.6191819489313,65.75792375717236,91.72346943772794,115.25272338092084
130308,48.929757450197016,66.14704114922223,92.25700739340827,115.99821584116589
130309,49.1822243694382,66.53108907795159,92.77534424861709,116.6623959275134
130310,49.414644393988674,66.8944043325445,93.26433939348146,117.28018143655319
130311,49.633500997288515,67.23714155080404,93.72547187972407,117.86198411594245
130312,49.839898579280565,67.56036706645438,94.16033467790453,118.4106007761414
130313,50.04420968649775,67.87644364755788,94.58597620236962,118.95046543196563
130314,50.23729967809282,68.17755728652914,94.991237290339,119.46275111147223
130315,50.42770187766946,68.47204739153551,95.38782570008559,119.96584834241894
130316,50.60692762965452,68.7518093600096,95.76432408385321,120.44157918572826
130317,50.7768761061733,69.01732861036523,96.1216192222219,120.89282290587366
130318,50.93922457753956,69.27055946025274,96.46241827581234,121.32353296969826
130319,51.092396569889864,69.51011426039456,96.78474786815981,121.73043232225918
130320,51.239198755858474,69.73897600669449,97.09276192865939,122.11979268535295
130321,51.395050075062706,69.9757688383048,97.4120912544977,122.52807977772031
130322,51.541452050052676,70.20320741616172,97.71830682482711,122.91589439476508
130323,51.69757580209555,70.43996083181723,98.03764035868117,123.32456083005282
130324,51.941592839497915,70.78111407087889,98.5008763793842,123.93958940767293
130325,52.15919129300214,71.11531276613891,98.95138321694118,124.51360675613007
130326,52.36562162596732,71.43635201002515,99.38359675263038,125.06073881258162
130327,52.559502105218684,71.73968564073749,99.79174478405423,125.57592462799688
130328,52.74148814614904,72.02494525846662,100.17550351986964,126.05988037297668
130329,52.9202338417834,72.30208169884884,100.54864209011392,126.53268935140554
130330,53.08798249650092,72.56431428252274,100.90150522058853,126.97825205531211
130331,53.26173537935392,72.83005062110574,101.2596799040809,127.43486311830631
130332,53.42332812670936,73.08221227976166,101.5990565702955,127.8638009200169
130333,53.58159815856438,73.3274701156264,101.92929731448233,128.28238446914375
130334,53.73316988957127,73.56317222029134,102.24659066319066,128.68396267962424
130335,53.8750513734479,73.7853192057054,102.54547682981435,129.06109894996914
130336,54.015247531265096,74.00229597917762,102.837658887711,129.4316271627057
130337,54.15089476001227,74.21261407119702,103.12084581197223,129.79050618349376
130338,54.280580790784825,74.41440516035925,103.39247702921008,130.13420127551112
130339,54.41364147989268,74.61810333922767,103.667017369953,130.4840620266799
130340,54.543661063724166,74.81857516613681,103.9370750358253,130.82718763393953
130341,54.66957816164847,75.01356155356149,104.19965105590575,131.16015333045013
130342,54.79874523777963,75.21104660149963,104.46584976977543,131.49959570202626
130343,54.92125677516793,75.40126874029929,104.72196400367615,131.82401338816814
