Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-05-31,95439,647424,729589,852916,1040063
2020-05-31,95442,868902,733783,1048052,1617585
2020-05-31,95446,378543,425492,524514,614741
2020-05-31,95448,658018,670966,871393,1203690
2020-05-31,95452,654507,717557,1084448,1778201
2020-05-31,95472,775815,798153,913921,1098112
2020-05-31,95476,581841,631871,880580,1394749
2020-05-31,95497,591061,810312,1066355,1298635
2020-05-31,95603,300838,361368,465266,604259
2020-05-31,95610,326539,311744,382693,423876
2020-05-31,95616,436506,504372,660782,832709
2020-05-31,95618,438773,419644,607000,842879
2020-05-31,95619,282424,291787,347280,422417
2020-05-31,95628,187045,321914,431952,582577
2020-05-31,95630,238901,399871,520243,640668
2020-05-31,95648,377752,528448,444080,505558
2020-05-31,95650,479950,414217,563818,825541
2020-05-31,95658,425667,527523,672974,840599
2020-05-31,95663,458982,503731,658061,800401
2020-05-31,95664,386384,412006,515856,713498
2020-05-31,95672,458988,441371,508929,693475
2020-05-31,95678,264424,323355,405675,508165
2020-05-31,95682,320124,326368,478430,593575
2020-05-31,95695,314363,334625,386577,465731
2020-05-31,95703,335860,379350,473273,587483
2020-05-31,95709,260196,298241,402339,534097
2020-05-31,95722,321174,397460,506933,664239
2020-05-31,95726,212065,272153,332055,407300
2020-05-31,95818,471358,531259,709801,906424
2020-05-31,95819,523353,567076,644891,892178
2020-05-31,95821,159237,311446,391195,454362
2020-05-31,95822,301542,324787,327154,389160
2020-05-31,95825,169082,295747,380849,419636
2020-05-31,96150,321712,349195,459365,648099
2020-05-31,96161,346110,451687,628539,1019226
2020-06-30,90004,664545,963111,1337924,2196373
2020-06-30,90007,561535,664901,764897,881568
2020-06-30,90012,517116,662346,767415,852266
2020-06-30,90016,530385,756751,910747,977968
2020-06-30,90018,579070,742612,798726,872751
2020-06-30,90019,866883,1038190,1221819,1367393
2020-06-30,90020,397048,616914,855621,3078322
2020-06-30,90022,438787,471631,526798,570308
2020-06-30,90023,431933,454820,503577,544932
2020-06-30,90024,661535,1010373,2444682,3383059
2020-06-30,90025,636086,944920,1297360,2207937
2020-06-30,90026,813321,948180,1127444,1311405
2020-06-30,90027,682891,1111318,1640374,2520487
2020-06-30,90028,768557,862509,1296928,1540102
2020-06-30,90029,826871,976080,1081708,1235499
2020-06-30,90031,585724,652137,741780,769416
2020-06-30,90032,548176,613101,687683,751933
2020-06-30,90033,501531,514958,556405,606583
2020-06-30,90034,605946,1153738,1488005,2017244
2020-06-30,90038,828248,888721,1258601,1640165
2020-06-30,90039,783985,974755,1155770,1297068
2020-06-30,90040,405642,449480,502995,566982
2020-06-30,90041,725648,827555,965413,1141166
2020-06-30,90042,619648,733762,859834,991441
2020-06-30,90043,498365,655000,773491,916988
2020-06-30,90044,458669,470061,513226,548146
2020-06-30,90045,428434,972277,1247550,1432150
2020-06-30,90046,620080,1089118,1861171,2722999
2020-06-30,90048,612273,1309784,2073561,2478195
2020-06-30,90049,675068,1132340,2630295,3396734
2020-06-30,90056,692615,789225,1253007,1489400
2020-06-30,90057,389983,616975,906009,1003703
2020-06-30,90061,398679,421332,470313,507873
2020-06-30,90062,547161,581649,636185,665339
2020-06-30,90063,454327,486651,551908,584002
2020-06-30,90064,790278,1278117,1739052,2356748
2020-06-30,90065,711092,763867,904645,1018986
2020-06-30,90066,594660,1361693,1581461,1892858
2020-06-30,90068,704668,1060535,1623062,2293208
2020-06-30,90069,668512,1009156,2687336,4190498
2020-06-30,90077,1010918,1254832,1938296,2712429
2020-06-30,90201,427642,446461,498881,546349
2020-06-30,90211,919351,1171705,2511709,2736268
2020-06-30,90212,915424,1434850,2818124,3541984
2020-06-30,90230,479260,702235,1261714,1514120
2020-06-30,90232,1180633,1421148,1580072,1731511
2020-06-30,90240,497701,509868,632820,741120
2020-06-30,90242,389370,495829,575696,639495
2020-06-30,90245,932374,1010981,1377395,1673117
2020-06-30,90247,385245,493701,582151,639656
2020-06-30,90250,561523,635246,686009,769144
2020-06-30,90254,1087986,1337809,1707217,2491614
2020-06-30,90255,394729,439478,496851,521428
2020-06-30,90260,383270,561063,684538,714651
2020-06-30,90265,1169644,1473897,2925943,3750688
2020-06-30,90266,2221513,2151344,2334618,2749802
2020-06-30,90270,404101,428408,485092,550370
2020-06-30,90272,753013,1825802,2847395,3550401
2020-06-30,90275,452212,790012,1216377,1425333
2020-06-30,90277,698195,954958,1321950,1634968
2020-06-30,90278,466512,811626,1019044,1239462
2020-06-30,90291,1705813,1852592,2141764,2716109
2020-06-30,90292,889780,1127825,1680933,3080906
2020-06-30,90304,519312,561651,619278,670227
2020-06-30,90305,552475,591696,652101,746783
2020-06-30,90401,912609,1352285,2273523,3089024
2020-06-30,90402,930325,2511728,3726234,4490808
2020-06-30,90403,720534,1334357,2002304,3185287
2020-06-30,90404,638692,1094718,1315637,1700894
2020-06-30,90405,699757,1527233,2148591,2506680
2020-06-30,90501,413063,626546,735449,869781
2020-06-30,90502,311586,403899,590422,664644
2020-06-30,90503,468622,648000,901533,1076873
2020-06-30,90505,474279,591186,944917,1145009
2020-06-30,90601,339227,478481,602190,706487
2020-06-30,90605,480631,494356,539643,608797
2020-06-30,90606,473315,477633,525122,563395
2020-06-30,90620,583894,554719,620993,653027
2020-06-30,90621,500740,522418,604685,750467
2020-06-30,90630,403969,492924,670545,789090
2020-06-30,90638,330674,436293,600527,642031
2020-06-30,90660,435129,470385,522107,572298
