model,MSE,MAE,AIC,pred
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,4.36248853410234
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,4.038641385299684
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,3.615120075788923
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,3.6321672536211054
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,3.5543426960241504
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,3.911042366773245
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,4.14266125658537
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,4.7701750236121825
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,62.313528869973766
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,93.25369161342292
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,110.03475211137538
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,126.79685514717858
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,144.5800504261548
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,145.03124564927117
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,115.47119626605297
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,103.15405626742586
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,95.68671547534359
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,100.48790312350991
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,103.8823977078531
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,76.20805307491287
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,18.472570846250505
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,3.9338995156629153
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,2.3045065659542843
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,0.7996398981111952
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-1.0549554141255157
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-2.692875358768106
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-4.593768452999484
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-6.17622610542162
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-7.928034888397178
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-9.267439477829157
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.698987532517094
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-11.64609675984218
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,44.46513594429712
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,74.1658357212317
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,89.94443150259985
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,105.97780270218476
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,123.33364211942745
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,123.6762904380144
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,94.33302319890078
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,82.55334456330411
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,75.92852361436314
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,81.8513431874569
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,86.6113718001078
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,60.50342103219873
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,4.486054854668055
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-8.2360453852192
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-8.00570009322621
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-7.662810029501657
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-7.734521364237935
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-7.703077622409751
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-8.090759951790915
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-8.351293935810077
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-8.998964719938272
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-9.469131651056728
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.273738110172076
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.83396229381151
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,45.43548453542269
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,75.08539610935111
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,90.63096326979144
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,106.28146590780705
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,123.14098805311357
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,122.91249071117471
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,92.9623058827197
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,80.57768806100586
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,73.38473653392026
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,78.80672810535941
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,83.15822936477912
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,56.752695818323446
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,0.5604539154999202
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-12.20911726764598
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-11.90104813126311
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-11.363879619984345
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-11.139064866029798
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.727819231975786
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.674877715142316
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.458602530051394
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.618750942835845
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.61566310037631
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-10.984530902879555
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-11.166952683621503
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,45.405669936642255
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,75.27183839883378
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,90.93925920499697
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,106.61467610594337
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,123.40445886645438
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,123.01830005413814
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,92.83311271580925
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,80.14980541643007
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,72.61029654658529
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,77.65486174676977
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,81.61524047652011
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,54.82126552916259
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-1.7420354019192246
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.853002463111125
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.84737584276104
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.567764837977165
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.553199454352125
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.305908938038897
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.374795293853708
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.245065545899138
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.46536430543722
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.506206578673414
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.913418448860739
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-15.138840749043993
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,41.377096600032246
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,71.16582554894387
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,86.73056382327462
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,102.27660859074274
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,118.91219771064311
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,118.35227215606994
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,87.98222631352047
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,75.11432851808081
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,67.40419134911264
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,72.30741394751362
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,76.17186006273096
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,49.34338054853828
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-7.1780208541589445
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-20.15766294824516
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-19.921057712218953
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-19.304095839120578
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-18.843151237875645
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-18.042215661868454
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-17.4565085199755
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-16.582014184275977
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-15.982289183210241
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-15.146352363252163
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-14.641390534151355
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-13.942570100963167
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,43.485393539803965
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,74.1497542485626
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,90.53073430252971
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,106.81284592313955
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,124.08667956389354
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,124.05344389908657
