model,p,d,q,P,D,Q,MSE,MAE,AIC,ForeMSE,ForeMAE
SARIMA,0,1,2,2,1,1,118383.3329,287.7245451,8023.303576,203242.1333,413.5682437
SARIMA,0,1,2,2,1,2,121215.6338,291.487596,8023.303576,213637.283,425.3424194
SARIMA,0,1,3,0,0,0,77894.1592,223.237143,8023.303576,47035.56243,173.8609584
SARIMA,0,1,3,0,0,1,77939.17764,222.194082,8023.303576,45155.61005,169.906995
SARIMA,0,1,3,0,0,2,79945.00585,217.5197169,8023.303576,42176.4645,161.219146
SARIMA,0,1,3,0,1,0,181113.0599,353.5004775,8023.303576,330155.5773,523.5839824
SARIMA,0,1,3,0,1,1,107235.2268,271.9220692,8023.303576,159691.8783,360.4617282
SARIMA,0,1,3,0,1,2,105768.4555,269.7758619,8023.303576,151163.974,349.3350074
SARIMA,0,1,3,1,0,0,80895.34482,219.2784718,8023.303576,42207.11178,161.1491594
SARIMA,0,1,3,1,0,1,106397.0886,270.9849865,8023.303576,155996.4616,355.9811919
SARIMA,0,1,3,1,0,2,105194.9603,268.9489677,8023.303576,148988.4334,346.4304258
SARIMA,0,1,3,1,1,0,148222.1429,323.1928526,8023.303576,298862.2413,507.6555039
SARIMA,0,1,3,1,1,1,106622.4671,271.0332603,8023.303576,156972.0552,356.9027539
SARIMA,0,1,3,1,1,2,113492.7303,280.5443541,8023.303576,193122.6922,401.35386
SARIMA,0,1,3,2,0,0,75878.74403,211.7519135,8023.303576,42158.31802,161.3515343
SARIMA,0,1,3,2,0,1,101457.8229,265.0603763,8023.303576,133158.5049,325.4310542
SARIMA,0,1,3,2,0,2,102776.2132,266.4229152,8023.303576,149904.989,348.1254697
SARIMA,0,1,3,2,1,0,117700.1389,288.6315611,8023.303576,195307.9101,401.2664721
SARIMA,0,1,3,2,1,1,106321.4494,270.5067208,8023.303576,158046.304,358.1560659
SARIMA,0,1,3,2,1,2,111107.9139,277.2161128,8023.303576,180567.9253,386.436109
SARIMA,0,1,4,0,0,0,77882.64884,221.6056016,8023.303576,45618.76558,170.8713339
SARIMA,0,1,4,0,0,1,82336.21946,221.1474178,8023.303576,42207.36691,161.1488592
SARIMA,0,1,4,0,0,2,79855.61869,217.7074062,8023.303576,42172.53548,161.2325305
SARIMA,0,1,4,0,1,0,184084.4018,356.2775055,8023.303576,337593.0374,529.0702937
SARIMA,0,1,4,0,1,1,93655.36353,252.144345,8023.303576,103907.4922,280.2578876
SARIMA,0,1,4,0,1,2,90466.36193,247.106104,8023.303576,87377.34281,253.309432
SARIMA,0,1,4,1,0,0,80839.40204,219.4894052,8023.303576,42205.78806,161.1507298
SARIMA,0,1,4,1,0,1,90688.5492,248.8924697,8023.303576,95744.05456,268.2531616
SARIMA,0,1,4,1,0,2,97478.76032,257.1527998,8023.303576,121905.8695,307.3197906
SARIMA,0,1,4,1,1,0,151319.3495,326.821776,8023.303576,307960.6976,515.9928376
SARIMA,0,1,4,1,1,1,92123.80004,249.8251508,8023.303576,96889.99315,268.9836884
SARIMA,0,1,4,1,1,2,97434.97194,257.6866316,8023.303576,123622.218,310.1959629
SARIMA,0,1,4,2,0,0,75458.18669,211.4832274,8023.303576,42158.25875,161.3694042
SARIMA,0,1,4,2,0,1,110730.7364,277.2752397,8023.303576,190358.7615,398.5810084
SARIMA,0,1,4,2,0,2,103494.9506,266.5007621,8023.303576,156602.4931,355.7725788
SARIMA,0,1,4,2,1,0,119961.3763,291.8920091,8023.303576,203853.2518,411.3822884
SARIMA,0,1,4,2,1,1,94231.88966,252.9651677,8023.303576,108474.1116,287.189106
SARIMA,0,1,4,2,1,2,94514.33849,253.1396479,8023.303576,109344.0615,288.6513796
SARIMA,0,1,5,0,0,0,77872.42368,222.6261538,8023.303576,46475.51848,172.6995562
SARIMA,0,1,5,0,0,1,82270.07384,221.095411,8023.303576,42201.33694,161.1577383
SARIMA,0,1,5,0,0,2,79807.34879,217.5849827,8023.303576,42173.28202,161.2298581
SARIMA,0,1,5,0,1,0,153594.2491,324.2195262,8023.303576,300291.2895,498.8689174
SARIMA,0,1,5,0,1,1,90187.99184,246.5793034,8023.303576,92176.44712,260.7505191
SARIMA,0,1,5,0,1,2,85403.90841,238.1091404,8023.303576,65641.09126,213.4963126
SARIMA,0,1,5,1,0,0,80788.64209,219.388412,8023.303576,42205.40324,161.1511904
SARIMA,0,1,5,1,0,1,85382.98732,240.1830692,8023.303576,75888.13138,233.7139544
SARIMA,0,1,5,1,0,2,85159.95241,235.85067,8023.303576,58878.27632,199.0590669
SARIMA,0,1,5,1,1,0,155132.657,330.3027333,8023.303576,317116.7506,523.5427786
SARIMA,0,1,5,1,1,1,88273.51167,243.1731672,8023.303576,82151.13479,243.6880302
SARIMA,0,1,5,1,1,2,90982.69427,247.9218293,8023.303576,96824.26799,268.4483797
SARIMA,0,1,5,2,0,0,74914.65044,210.6735087,8023.303576,42158.66766,161.3918754
SARIMA,0,1,5,2,0,1,94430.77424,252.6883498,8023.303576,114548.7531,296.04588
SARIMA,0,1,5,2,0,2,93671.04928,251.7250148,8023.303576,113300.7053,294.2269831
SARIMA,0,1,5,2,1,0,123640.4926,295.946797,8023.303576,215908.8248,424.4872754
SARIMA,0,1,5,2,1,1,87436.46885,241.6172901,8023.303576,77423.53715,235.3797224
SARIMA,0,1,5,2,1,2,88447.10615,243.3455616,8023.303576,83338.17213,245.7880324
